episode,total_reward,avg_response_min,icu_surge_count,diversions,triage_accuracy,epsilon
586,2715.48,1.55,5,5,68.0,0.1719
587,2625.72,1.53,3,6,60.0,0.1714
588,2232.47,1.72,5,7,62.0,0.1709
589,2373.29,1.55,4,6,72.0,0.1704
590,2392.69,1.76,7,6,60.0,0.1699
591,2973.35,1.51,0,7,84.0,0.1694
592,2981.61,1.59,6,5,86.0,0.1689
593,2728.29,1.6,3,8,80.0,0.1684
594,3043.73,1.43,3,7,78.0,0.1679
595,2552.24,1.49,4,7,74.0,0.1673
596,2623.33,1.41,6,7,68.0,0.1668
597,2586.57,1.58,6,9,72.0,0.1663
598,2767.3,1.49,1,5,78.0,0.1658
599,2727.31,1.49,2,6,80.0,0.1653
600,2287.96,1.48,6,10,86.0,0.1649
601,2789.99,1.53,3,4,72.0,0.1644
602,2356.74,1.59,4,10,80.0,0.1639
603,2556.46,1.48,8,7,74.0,0.1634
604,2500.99,1.5,5,5,72.0,0.1629
605,2621.03,1.53,5,8,76.0,0.1624
606,2513.27,1.7,9,5,68.0,0.1619
607,2414.78,1.66,1,3,66.0,0.1614
608,2614.25,1.65,7,8,64.0,0.1609
609,2792.37,1.46,6,6,80.0,0.1605
610,2913.86,1.56,5,4,72.0,0.16
611,2718.19,1.57,4,7,76.0,0.1595
612,2346.73,1.51,3,6,78.0,0.159
613,2758.62,1.53,2,1,86.0,0.1585
614,2539.37,1.58,3,6,74.0,0.1581
615,2590.34,1.64,3,6,72.0,0.1576
616,2745.56,1.57,8,7,80.0,0.1571
617,2865.82,1.6,1,9,76.0,0.1566
618,2820.88,1.51,3,5,70.0,0.1562
619,2614.31,1.58,6,7,70.0,0.1557
620,2684.29,1.59,6,5,68.0,0.1552
621,2518.56,1.54,4,5,72.0,0.1548
622,2278.89,1.6,6,8,76.0,0.1543
623,2668.01,1.41,4,3,76.0,0.1538
624,2537.86,1.54,4,3,78.0,0.1534
625,2380.88,1.44,5,8,68.0,0.1529
626,2513.53,1.57,8,5,62.0,0.1525
627,2403.16,1.6,4,4,62.0,0.152
628,2796.67,1.51,7,5,80.0,0.1516
629,2565.96,1.48,3,6,78.0,0.1511
630,2894.13,1.5,4,6,78.0,0.1506
631,2467.48,1.68,5,5,68.0,0.1502
632,2696.72,1.49,9,7,78.0,0.1497
633,2844.44,1.61,1,7,68.0,0.1493
634,2863.48,1.55,5,8,82.0,0.1488
635,2392.38,1.55,5,9,72.0,0.1484
636,2473.73,1.64,3,6,70.0,0.148
637,2595.24,1.57,6,8,72.0,0.1475
638,2477.04,1.66,4,8,76.0,0.1471
639,2832.85,1.61,6,5,80.0,0.1466
640,2230.34,1.68,7,10,62.0,0.1462
641,2369.71,1.56,4,9,74.0,0.1457
642,2642.01,1.51,1,6,76.0,0.1453
643,2780.33,1.48,3,4,74.0,0.1449
644,2507.21,1.65,5,1,72.0,0.1444
645,2245.55,1.7,4,6,74.0,0.144
646,2499.37,1.73,2,6,74.0,0.1436
647,2771.08,1.49,4,2,66.0,0.1431
648,2604.28,1.36,4,8,76.0,0.1427
649,2530.71,1.56,1,9,76.0,0.1423
650,2609.86,1.54,1,3,72.0,0.1419
651,2576.19,1.54,3,6,68.0,0.1414
652,2840.35,1.59,6,5,82.0,0.141
653,2684.86,1.44,2,5,68.0,0.1406
654,2658.15,1.63,5,6,70.0,0.1402
655,2445.38,1.64,3,10,64.0,0.1397
656,2808.06,1.61,2,5,72.0,0.1393
657,2236.33,1.5,6,5,66.0,0.1389
658,2494.79,1.77,6,11,78.0,0.1385
659,2458.48,1.47,8,9,74.0,0.1381
660,2701.24,1.55,3,4,72.0,0.1377
661,2430.9,1.67,6,10,66.0,0.1372
662,2132.79,1.55,5,6,78.0,0.1368
663,3016.65,1.58,3,3,70.0,0.1364
664,2713.16,1.54,4,8,76.0,0.136
665,2794.48,1.53,5,6,80.0,0.1356
666,2466.02,1.55,5,10,76.0,0.1352
667,2684.64,1.67,2,7,56.0,0.1348
668,2758.61,1.59,7,8,76.0,0.1344
669,2709.37,1.56,0,4,66.0,0.134
670,2750.14,1.62,4,6,66.0,0.1336
671,2480.01,1.55,4,3,84.0,0.1332
672,2664.82,1.58,7,10,74.0,0.1328
673,2691.73,1.44,2,5,78.0,0.1324
674,2616.05,1.72,2,2,76.0,0.132
675,2750.63,1.53,3,10,68.0,0.1316
676,3048.04,1.5,3,9,78.0,0.1312
677,2721.74,1.56,7,7,70.0,0.1308
678,2526.2,1.55,1,4,70.0,0.1304
679,2512.18,1.57,2,3,74.0,0.13
680,2876.02,1.53,3,5,76.0,0.1296
681,2566.54,1.41,4,5,80.0,0.1292
682,3390.36,1.51,4,4,82.0,0.1289
683,2958.03,1.47,8,14,80.0,0.1285
684,3376.49,1.52,2,5,80.0,0.1281
685,2762.84,1.63,4,6,70.0,0.1277
686,2806.72,1.56,4,3,80.0,0.1273
687,2618.84,1.64,1,6,82.0,0.1269
688,2652.59,1.52,6,5,82.0,0.1266
689,2704.38,1.52,2,12,86.0,0.1262
690,2936.87,1.51,1,3,74.0,0.1258
691,2660.55,1.49,7,5,74.0,0.1254
692,2941.63,1.6,1,3,80.0,0.125
693,2595.75,1.58,5,9,86.0,0.1247
694,2555.4,1.49,2,4,72.0,0.1243
695,2374.37,1.56,1,2,76.0,0.1239
696,2662.59,1.58,3,7,80.0,0.1235
697,2488.19,1.67,6,8,78.0,0.1232
698,2766.36,1.52,5,8,68.0,0.1228
699,3019.76,1.52,9,4,82.0,0.1224
700,2545.19,1.68,6,7,72.0,0.1221
701,2657.14,1.6,8,8,78.0,0.1217
702,2663.93,1.65,4,7,80.0,0.1213
703,2674.23,1.54,0,6,78.0,0.121
704,2865.3,1.45,2,4,76.0,0.1206
705,2550.89,1.73,1,7,64.0,0.1203
706,2784.86,1.56,5,6,70.0,0.1199
707,2798.93,1.45,2,2,80.0,0.1195
708,2675.13,1.61,4,9,62.0,0.1192
709,3105.85,1.38,6,8,78.0,0.1188
710,2622.06,1.57,5,3,62.0,0.1185
711,2584.81,1.53,2,5,74.0,0.1181
712,2770.66,1.51,5,5,80.0,0.1177
713,2835.99,1.51,5,9,68.0,0.1174
714,2600.58,1.74,1,5,68.0,0.117
715,2837.4,1.6,2,5,76.0,0.1167
716,2683.49,1.57,2,1,68.0,0.1163
717,2660.0,1.59,1,5,76.0,0.116
718,2561.06,1.61,6,6,68.0,0.1156
719,3149.87,1.55,3,4,76.0,0.1153
720,2537.73,1.6,3,3,74.0,0.115
721,3040.6,1.52,2,5,80.0,0.1146
722,2515.72,1.63,5,4,76.0,0.1143
723,2665.59,1.62,3,5,62.0,0.1139
724,2936.5,1.45,2,7,70.0,0.1136
725,2835.46,1.6,1,5,64.0,0.1132
726,2729.15,1.57,1,7,76.0,0.1129
727,2801.24,1.57,7,9,76.0,0.1126
728,2805.73,1.62,5,4,78.0,0.1122
729,2858.74,1.51,0,2,66.0,0.1119
730,2655.18,1.58,2,6,72.0,0.1115
731,2870.93,1.57,1,2,78.0,0.1112
732,2470.18,1.65,0,6,76.0,0.1109
733,2692.31,1.52,4,5,78.0,0.1105
734,2853.11,1.65,4,3,80.0,0.1102
735,2597.7,1.65,8,6,88.0,0.1099
736,3036.05,1.37,7,7,70.0,0.1096
737,2632.51,1.62,6,10,76.0,0.1092
738,2935.21,1.56,2,6,76.0,0.1089
739,2839.87,1.6,4,6,68.0,0.1086
740,2668.24,1.59,3,8,84.0,0.1082
741,2901.42,1.47,3,9,84.0,0.1079
742,2906.6,1.55,7,8,72.0,0.1076
743,2610.18,1.61,4,4,88.0,0.1073
744,2644.82,1.57,2,2,90.0,0.107
745,2908.38,1.6,3,5,72.0,0.1066
746,2897.5,1.68,4,1,78.0,0.1063
747,3031.81,1.63,4,3,80.0,0.106
748,2433.87,1.68,7,8,78.0,0.1057
749,2581.4,1.44,5,6,74.0,0.1054
750,2834.74,1.67,4,5,74.0,0.105
751,2719.05,1.52,3,7,86.0,0.1047
752,2746.98,1.48,2,8,76.0,0.1044
753,2862.75,1.54,4,9,72.0,0.1041
754,2513.41,1.72,2,6,74.0,0.1038
755,2777.8,1.46,5,7,88.0,0.1035
756,2442.84,1.54,5,9,72.0,0.1032
757,2564.88,1.53,3,6,78.0,0.1029
758,2633.42,1.71,7,4,68.0,0.1025
759,2727.79,1.6,7,9,86.0,0.1022
760,2760.36,1.56,6,6,82.0,0.1019
761,2561.14,1.58,3,6,76.0,0.1016
762,2805.48,1.56,2,5,76.0,0.1013
763,2812.3,1.64,5,5,84.0,0.101
764,2780.22,1.49,6,5,72.0,0.1007
765,2564.1,1.48,1,10,68.0,0.1004
766,2800.85,1.58,1,7,74.0,0.1001
767,2679.2,1.51,3,5,78.0,0.0998
768,2652.56,1.62,5,9,62.0,0.0995
769,2865.14,1.56,4,6,72.0,0.0992
770,2866.63,1.54,0,5,80.0,0.0989
771,2804.3,1.55,3,7,76.0,0.0986
772,2568.75,1.57,3,6,84.0,0.0983
773,2686.75,1.61,5,8,80.0,0.098
774,2907.82,1.53,5,8,74.0,0.0977
775,2675.9,1.58,3,2,80.0,0.0974
776,2638.35,1.65,7,6,82.0,0.0972
777,3052.09,1.46,5,3,68.0,0.0969
778,2912.82,1.52,7,12,78.0,0.0966
779,3113.5,1.47,1,6,88.0,0.0963
780,2850.57,1.54,3,6,80.0,0.096
781,2674.59,1.67,7,5,68.0,0.0957
782,2730.78,1.55,4,4,74.0,0.0954
783,2430.04,1.67,1,5,68.0,0.0951
784,3091.47,1.52,2,9,84.0,0.0948
785,2813.04,1.62,5,6,86.0,0.0946
786,2768.39,1.6,6,8,68.0,0.0943
787,2848.94,1.47,6,2,80.0,0.094
788,2903.39,1.58,4,5,76.0,0.0937
789,2507.8,1.64,1,4,72.0,0.0934
790,2598.9,1.73,6,11,84.0,0.0931
791,2576.33,1.57,3,6,60.0,0.0929
792,2771.19,1.65,2,2,76.0,0.0926
793,2336.37,1.64,5,7,72.0,0.0923
794,3003.96,1.58,5,5,78.0,0.092
795,3191.85,1.55,1,3,82.0,0.0918
796,3187.88,1.52,5,9,86.0,0.0915
797,2849.72,1.53,3,5,78.0,0.0912
798,2636.98,1.59,4,9,74.0,0.0909
799,2766.83,1.49,6,5,78.0,0.0907
800,2961.16,1.57,2,5,76.0,0.0904
801,2953.83,1.54,3,7,80.0,0.0901
802,3075.63,1.55,3,6,72.0,0.0898
803,3014.69,1.5,1,2,80.0,0.0896
804,2998.01,1.62,5,7,80.0,0.0893
805,3119.66,1.64,7,10,82.0,0.089
806,2743.47,1.61,7,9,72.0,0.0888
807,2894.63,1.55,2,4,86.0,0.0885
808,2700.18,1.58,4,6,80.0,0.0882
809,3021.2,1.47,3,6,72.0,0.088
810,3089.98,1.49,5,5,80.0,0.0877
811,2826.2,1.5,0,8,78.0,0.0875
812,2678.26,1.62,4,5,72.0,0.0872
813,3162.0,1.53,3,9,82.0,0.0869
814,2935.17,1.51,3,7,76.0,0.0867
815,2835.66,1.55,6,8,82.0,0.0864
816,2851.74,1.53,2,3,78.0,0.0861
817,2888.07,1.56,3,3,80.0,0.0859
818,2942.76,1.55,3,7,72.0,0.0856
819,2565.95,1.5,3,7,70.0,0.0854
820,2819.94,1.55,2,4,78.0,0.0851
821,2672.27,1.59,4,3,82.0,0.0849
822,2880.71,1.45,5,7,84.0,0.0846
823,2870.5,1.58,2,4,86.0,0.0844
824,2931.54,1.52,7,6,78.0,0.0841
825,2858.78,1.64,3,3,76.0,0.0839
826,2470.17,1.58,2,7,78.0,0.0836
827,2758.85,1.57,5,6,74.0,0.0833
828,2408.04,1.55,6,6,80.0,0.0831
829,3029.53,1.49,7,10,78.0,0.0828
830,2913.69,1.5,3,8,76.0,0.0826
831,2919.06,1.55,1,5,76.0,0.0824
832,3022.45,1.57,3,7,72.0,0.0821
833,2599.13,1.57,3,9,74.0,0.0819
834,3297.29,1.48,4,5,76.0,0.0816
835,3092.61,1.53,2,5,82.0,0.0814
836,2811.18,1.73,2,7,84.0,0.0811
837,3101.59,1.55,6,5,78.0,0.0809
838,2806.45,1.69,2,3,76.0,0.0806
839,2887.69,1.58,3,8,74.0,0.0804
840,2828.58,1.56,1,10,82.0,0.0802
841,2870.28,1.73,5,7,76.0,0.0799
842,2939.77,1.56,5,6,86.0,0.0797
843,2913.33,1.48,4,11,82.0,0.0794
844,3564.63,1.49,5,7,84.0,0.0792
845,3062.07,1.6,2,3,78.0,0.079
846,2965.87,1.53,6,5,78.0,0.0787
847,2994.52,1.61,8,7,84.0,0.0785
848,2892.38,1.57,6,8,66.0,0.0783
849,2707.79,1.59,5,7,78.0,0.078
850,2808.29,1.55,2,6,80.0,0.0778
851,2893.15,1.52,3,4,66.0,0.0775
852,3044.14,1.6,5,9,78.0,0.0773
853,2803.74,1.59,2,7,72.0,0.0771
854,3069.53,1.48,1,3,80.0,0.0769
855,2731.28,1.65,4,8,82.0,0.0766
856,2996.01,1.64,6,7,80.0,0.0764
857,2815.25,1.53,5,6,86.0,0.0762
858,3017.84,1.54,3,7,84.0,0.0759
859,2851.39,1.62,3,6,82.0,0.0757
860,2905.23,1.55,2,3,66.0,0.0755
861,2817.2,1.58,5,5,66.0,0.0753
862,3147.04,1.65,0,2,84.0,0.075
863,2881.72,1.59,6,6,72.0,0.0748
864,2759.6,1.59,6,8,82.0,0.0746
865,3056.12,1.55,1,4,72.0,0.0744
866,2705.07,1.75,6,6,80.0,0.0741
867,2871.38,1.48,3,6,80.0,0.0739
868,2879.41,1.56,2,2,76.0,0.0737
869,3137.81,1.5,5,6,80.0,0.0735
870,2847.76,1.48,5,7,80.0,0.0732
871,2849.88,1.51,7,7,72.0,0.073
872,3039.52,1.56,3,4,68.0,0.0728
873,2747.32,1.62,8,9,86.0,0.0726
874,2966.11,1.57,4,12,86.0,0.0724
875,2686.75,1.58,4,3,76.0,0.0722
876,2774.75,1.56,5,9,80.0,0.0719
877,2739.73,1.64,5,7,74.0,0.0717
878,2865.4,1.57,4,6,86.0,0.0715
879,2538.28,1.49,5,7,78.0,0.0713
880,2996.1,1.51,3,11,86.0,0.0711
881,2822.57,1.54,3,4,76.0,0.0709
882,2470.62,1.62,3,9,74.0,0.0707
883,2972.25,1.62,6,7,82.0,0.0704
884,2904.79,1.52,2,5,90.0,0.0702
885,3246.57,1.48,4,4,82.0,0.07
886,2806.11,1.61,7,6,76.0,0.0698
887,2887.83,1.6,7,7,80.0,0.0696
888,2702.73,1.52,2,8,80.0,0.0694
889,3115.91,1.51,9,8,86.0,0.0692
890,3048.42,1.65,3,7,88.0,0.069
891,2992.64,1.41,3,4,78.0,0.0688
892,2706.23,1.56,2,4,80.0,0.0686
893,2779.4,1.52,4,6,86.0,0.0684
894,2697.82,1.62,9,9,78.0,0.0682
895,3221.62,1.51,6,4,72.0,0.0679
896,3008.72,1.53,3,4,70.0,0.0677
897,2655.55,1.63,2,6,68.0,0.0675
898,2686.95,1.54,4,4,82.0,0.0673
899,2814.79,1.55,2,3,86.0,0.0671
900,2938.84,1.54,2,6,80.0,0.0669
901,3114.81,1.62,2,5,88.0,0.0667
902,2717.05,1.5,3,6,70.0,0.0665
903,3071.8,1.58,2,7,78.0,0.0663
904,3016.05,1.67,3,8,92.0,0.0661
905,3214.8,1.59,8,13,80.0,0.0659
906,2883.78,1.53,2,5,80.0,0.0657
907,2622.91,1.65,5,7,80.0,0.0655
908,3206.77,1.59,5,5,80.0,0.0653
909,3048.34,1.65,2,5,78.0,0.0651
910,3178.53,1.6,7,11,84.0,0.065
911,2860.59,1.53,3,2,78.0,0.0648
912,2800.46,1.56,3,4,82.0,0.0646
913,2907.57,1.61,4,5,82.0,0.0644
914,2864.22,1.56,5,6,80.0,0.0642
915,2814.42,1.61,6,9,72.0,0.064
916,2870.87,1.62,4,7,68.0,0.0638
917,2754.46,1.56,5,8,78.0,0.0636
918,3001.37,1.67,5,7,80.0,0.0634
919,3279.66,1.43,3,4,76.0,0.0632
920,2983.68,1.53,6,9,68.0,0.063
921,3161.67,1.49,5,3,82.0,0.0628
922,3158.66,1.45,2,6,80.0,0.0627
923,2999.62,1.63,2,3,82.0,0.0625
924,3316.43,1.53,5,6,88.0,0.0623
925,2718.26,1.63,3,6,80.0,0.0621
926,2801.7,1.51,7,9,70.0,0.0619
927,2753.13,1.65,7,8,80.0,0.0617
928,2775.53,1.57,4,6,78.0,0.0615
929,2892.1,1.61,2,5,82.0,0.0613
930,3396.62,1.39,5,6,84.0,0.0612
931,3184.75,1.56,2,11,82.0,0.061
932,2599.51,1.51,2,7,82.0,0.0608
933,3069.95,1.58,3,5,82.0,0.0606
934,2602.99,1.57,8,7,82.0,0.0604
935,3015.8,1.52,0,1,88.0,0.0603
936,3156.58,1.59,2,5,84.0,0.0601
937,2947.08,1.54,4,7,74.0,0.0599
938,3071.34,1.59,1,7,84.0,0.0597
939,3061.41,1.49,6,6,94.0,0.0595
940,3271.17,1.47,6,6,74.0,0.0594
941,2577.79,1.7,3,7,78.0,0.0592
942,2939.44,1.51,3,3,86.0,0.059
943,3098.84,1.48,4,8,96.0,0.0588
944,2728.86,1.6,5,5,74.0,0.0586
945,3010.41,1.57,7,12,84.0,0.0585
946,2942.44,1.51,5,6,80.0,0.0583
947,2679.03,1.55,3,6,78.0,0.0581
948,2744.68,1.6,4,5,74.0,0.0579
949,2877.79,1.48,3,5,78.0,0.0578
950,2971.51,1.6,4,5,76.0,0.0576
951,3146.88,1.62,3,12,86.0,0.0574
952,3015.32,1.59,9,7,82.0,0.0573
953,2730.16,1.52,1,10,76.0,0.0571
954,2945.49,1.57,5,9,90.0,0.0569
955,2746.02,1.69,5,8,90.0,0.0567
956,3030.55,1.49,3,7,90.0,0.0566
957,2747.85,1.54,1,1,78.0,0.0564
958,3272.23,1.5,4,4,72.0,0.0562
959,2730.76,1.46,4,7,70.0,0.0561
960,2731.58,1.6,4,5,80.0,0.0559
961,2898.26,1.59,4,4,78.0,0.0557
962,2856.84,1.69,3,5,76.0,0.0556
963,2575.11,1.57,5,6,86.0,0.0554
964,3040.74,1.47,5,7,80.0,0.0552
965,3044.99,1.6,8,10,84.0,0.0551
966,3010.63,1.63,4,4,74.0,0.0549
967,2746.17,1.55,1,4,74.0,0.0547
968,2696.08,1.67,6,5,78.0,0.0546
969,3197.86,1.57,5,4,80.0,0.0544
970,2764.42,1.62,4,5,76.0,0.0542
971,2620.15,1.54,3,5,64.0,0.0541
972,2745.46,1.61,3,10,80.0,0.0539
973,3129.58,1.54,3,4,84.0,0.0538
974,3038.31,1.65,3,4,80.0,0.0536
975,2544.7,1.64,4,4,72.0,0.0534
976,2976.51,1.44,1,4,86.0,0.0533
977,3075.33,1.51,7,4,86.0,0.0531
978,3241.95,1.6,4,4,72.0,0.0529
979,3113.34,1.66,1,6,78.0,0.0528
980,2715.03,1.62,4,7,74.0,0.0526
981,2908.67,1.6,3,8,74.0,0.0525
982,3173.25,1.48,2,9,78.0,0.0523
983,2967.61,1.49,2,9,84.0,0.0522
984,2957.98,1.6,4,4,76.0,0.052
985,3023.24,1.55,3,6,70.0,0.0518
986,2591.15,1.56,4,5,74.0,0.0517
987,2861.75,1.61,2,4,80.0,0.0515
988,3207.41,1.61,2,8,84.0,0.0514
989,2863.67,1.57,5,4,74.0,0.0512
990,3001.77,1.71,0,1,88.0,0.0511
991,2894.57,1.57,1,7,80.0,0.0509
992,2775.95,1.64,5,4,70.0,0.0508
993,2622.09,1.58,6,7,74.0,0.0506
994,3437.08,1.49,0,6,80.0,0.0505
995,2540.06,1.55,5,7,72.0,0.0503
996,2798.03,1.61,2,5,78.0,0.0502
997,2785.46,1.67,4,3,76.0,0.05
998,3154.55,1.53,7,7,84.0,0.0499
999,2573.26,1.59,7,7,82.0,0.0499
1000,2981.26,1.6,4,8,86.0,0.0499
1001,2467.05,1.64,4,9,76.0,0.0499
1002,3106.48,1.66,4,3,80.0,0.0499
1003,2703.25,1.64,3,7,76.0,0.0499
1004,2799.3,1.55,3,7,72.0,0.0499
1005,2881.4,1.65,4,5,78.0,0.0499
1006,2805.81,1.54,5,6,76.0,0.0499
1007,3043.78,1.56,3,4,84.0,0.0499
1008,2903.69,1.63,1,4,80.0,0.0499
1009,2562.75,1.63,5,3,80.0,0.0499
1010,2997.16,1.6,3,5,86.0,0.0499
1011,2857.99,1.67,1,6,84.0,0.0499
1012,3093.84,1.62,2,8,80.0,0.0499
1013,3029.53,1.57,7,3,84.0,0.0499
1014,3089.61,1.5,2,4,76.0,0.0499
1015,3227.06,1.48,3,5,92.0,0.0499
1016,2630.56,1.58,2,3,78.0,0.0499
1017,2610.69,1.74,4,6,68.0,0.0499
1018,2764.77,1.6,10,6,74.0,0.0499
1019,2861.59,1.73,5,7,92.0,0.0499
1020,3209.37,1.5,6,5,84.0,0.0499
1021,2923.39,1.52,5,6,74.0,0.0499
1022,2980.24,1.57,2,4,76.0,0.0499
1023,3005.44,1.61,6,7,70.0,0.0499
1024,2729.11,1.5,6,8,74.0,0.0499
1025,3048.5,1.68,7,10,80.0,0.0499
1026,3087.8,1.53,0,4,86.0,0.0499
1027,2919.02,1.67,5,6,82.0,0.0499
1028,2826.25,1.7,6,9,80.0,0.0499
1029,2808.36,1.57,4,6,76.0,0.0499
1030,3063.65,1.57,4,4,80.0,0.0499
1031,2858.78,1.61,4,3,72.0,0.0499
1032,2811.66,1.67,4,5,78.0,0.0499
1033,3076.77,1.53,3,5,86.0,0.0499
1034,2946.08,1.52,2,6,82.0,0.0499
1035,2675.23,1.62,3,11,66.0,0.0499
1036,3151.49,1.58,3,7,86.0,0.0499
1037,3034.05,1.58,4,9,86.0,0.0499
1038,3068.7,1.42,2,6,72.0,0.0499
1039,2988.58,1.5,7,9,88.0,0.0499
1040,2758.06,1.66,3,5,80.0,0.0499
1041,3160.99,1.41,3,3,78.0,0.0499
1042,3387.09,1.72,3,6,90.0,0.0499
1043,2804.67,1.64,5,7,82.0,0.0499
1044,2793.24,1.56,3,5,80.0,0.0499
1045,3202.37,1.53,4,4,82.0,0.0499
1046,2919.34,1.67,1,3,82.0,0.0499
1047,2906.54,1.57,2,8,88.0,0.0499
1048,3031.23,1.5,5,11,74.0,0.0499
1049,3208.03,1.57,8,10,70.0,0.0499
1050,3112.83,1.59,5,4,78.0,0.0499
1051,2774.0,1.66,8,10,74.0,0.0499
1052,3261.49,1.69,2,4,76.0,0.0499
1053,3406.28,1.46,6,8,86.0,0.0499
1054,2637.38,1.58,4,7,78.0,0.0499
1055,2773.92,1.54,2,5,76.0,0.0499
1056,2807.23,1.63,2,4,86.0,0.0499
1057,3247.09,1.62,1,2,82.0,0.0499
1058,2818.83,1.62,4,9,76.0,0.0499
1059,3045.54,1.47,3,5,78.0,0.0499
1060,2915.96,1.71,2,3,90.0,0.0499
1061,2669.7,1.6,3,6,68.0,0.0499
1062,2616.14,1.62,8,9,72.0,0.0499
1063,3121.46,1.46,1,2,88.0,0.0499
1064,2965.65,1.62,4,3,78.0,0.0499
1065,3264.3,1.61,4,5,84.0,0.0499
1066,3037.13,1.51,1,1,84.0,0.0499
1067,2962.37,1.69,4,6,84.0,0.0499
1068,2802.6,1.64,2,5,82.0,0.0499
1069,3179.79,1.56,3,8,84.0,0.0499
1070,2826.22,1.66,4,7,84.0,0.0499
1071,3292.08,1.54,6,7,84.0,0.0499
1072,2932.75,1.59,2,1,80.0,0.0499
1073,2774.31,1.56,5,8,86.0,0.0499
1074,3062.43,1.56,3,4,90.0,0.0499
1075,3292.97,1.66,4,7,86.0,0.0499
1076,3204.46,1.58,2,4,78.0,0.0499
1077,3066.88,1.51,1,4,90.0,0.0499
1078,3393.17,1.56,5,8,84.0,0.0499
1079,2644.36,1.63,5,7,70.0,0.0499
1080,2661.52,1.67,4,6,74.0,0.0499
1081,3010.27,1.58,4,3,86.0,0.0499
1082,2934.86,1.59,3,2,64.0,0.0499
1083,3176.27,1.63,3,6,80.0,0.0499
1084,2974.33,1.8,6,7,90.0,0.0499
1085,2794.28,1.58,4,4,88.0,0.0499
1086,3057.72,1.45,4,2,74.0,0.0499
1087,3273.12,1.54,4,5,90.0,0.0499
1088,2802.25,1.57,3,5,80.0,0.0499
1089,2743.65,1.52,5,8,82.0,0.0499
1090,2723.78,1.54,4,7,84.0,0.0499
1091,2978.55,1.55,7,4,84.0,0.0499
1092,2541.77,1.6,2,4,78.0,0.0499
1093,2826.97,1.46,1,6,78.0,0.0499
1094,2780.22,1.6,4,4,74.0,0.0499
1095,2821.04,1.56,3,7,74.0,0.0499
1096,2710.7,1.55,2,4,80.0,0.0499
1097,3044.37,1.49,4,4,80.0,0.0499
1098,2723.83,1.51,4,4,70.0,0.0499
1099,2968.97,1.44,4,5,78.0,0.0499
1100,2913.81,1.54,4,3,80.0,0.0499
1101,2836.82,1.52,2,3,80.0,0.0499
1102,3076.06,1.55,2,7,80.0,0.0499
1103,2775.39,1.59,2,6,86.0,0.0499
1104,2928.83,1.49,3,2,78.0,0.0499
1105,2764.37,1.54,6,4,84.0,0.0499
1106,2731.55,1.59,3,7,88.0,0.0499
1107,2959.73,1.54,6,3,82.0,0.0499
1108,2796.8,1.63,2,8,78.0,0.0499
1109,2517.39,1.49,5,7,66.0,0.0499
1110,3121.8,1.52,2,5,80.0,0.0499
1111,3123.15,1.39,3,8,90.0,0.0499
1112,2841.82,1.56,5,5,80.0,0.0499
1113,2909.26,1.52,3,3,82.0,0.0499
1114,3010.81,1.58,6,9,76.0,0.0499
1115,3479.14,1.43,3,4,90.0,0.0499
1116,2990.99,1.64,4,5,84.0,0.0499
1117,2895.1,1.45,3,8,74.0,0.0499
1118,2626.49,1.54,5,9,70.0,0.0499
1119,2783.97,1.6,2,5,76.0,0.0499
1120,3266.26,1.45,1,5,74.0,0.0499
1121,2758.89,1.54,3,8,84.0,0.0499
1122,3052.74,1.46,6,5,78.0,0.0499
1123,3104.95,1.64,4,4,78.0,0.0499
1124,2844.76,1.67,6,6,82.0,0.0499
1125,2776.49,1.6,3,6,82.0,0.0499
1126,3212.66,1.49,2,4,84.0,0.0499
1127,3022.56,1.47,2,6,74.0,0.0499
1128,2989.44,1.59,4,4,90.0,0.0499
1129,3311.83,1.51,1,4,86.0,0.0499
1130,2927.78,1.54,7,8,84.0,0.0499
1131,3140.09,1.54,1,5,80.0,0.0499
1132,2770.11,1.57,5,5,76.0,0.0499
1133,3280.68,1.62,3,5,76.0,0.0499
1134,3073.82,1.58,5,9,88.0,0.0499
1135,2626.23,1.59,2,2,66.0,0.0499
1136,2954.21,1.49,2,6,70.0,0.0499
1137,2763.52,1.71,4,4,82.0,0.0499
1138,2910.25,1.56,2,1,82.0,0.0499
1139,2691.28,1.57,5,11,84.0,0.0499
1140,3070.2,1.53,4,7,80.0,0.0499
1141,2741.64,1.66,2,3,76.0,0.0499
1142,2988.43,1.62,5,7,70.0,0.0499
1143,3249.81,1.52,1,3,86.0,0.0499
1144,2714.02,1.6,8,11,74.0,0.0499
1145,3157.71,1.63,3,6,82.0,0.0499
1146,2872.08,1.6,3,8,86.0,0.0499
1147,3251.88,1.44,0,2,84.0,0.0499
1148,3270.37,1.51,5,9,76.0,0.0499
1149,2731.21,1.57,6,6,78.0,0.0499
1150,3043.92,1.71,3,4,82.0,0.0499
1151,3144.78,1.57,2,3,76.0,0.0499
1152,2822.01,1.55,4,4,80.0,0.0499
1153,2574.3,1.74,2,6,74.0,0.0499
1154,2898.48,1.53,2,5,74.0,0.0499
1155,3099.92,1.54,3,7,84.0,0.0499
1156,2458.52,1.64,3,3,80.0,0.0499
1157,2974.93,1.57,2,5,82.0,0.0499
1158,2674.47,1.61,3,5,84.0,0.0499
1159,2884.07,1.58,4,6,78.0,0.0499
1160,2661.23,1.6,12,10,76.0,0.0499
1161,3373.78,1.51,3,5,72.0,0.0499
