episode,total_reward,avg_response_min,icu_surge_count,diversions,triage_accuracy,epsilon
138,1156.44,1.55,9,9,34.0,0.6606
139,1104.01,1.4,7,12,46.0,0.6586
140,905.49,1.6,7,8,30.0,0.6566
141,1024.48,1.44,6,7,32.0,0.6547
142,1084.16,1.58,4,6,38.0,0.6527
143,1453.24,1.61,4,10,44.0,0.6507
144,1075.19,1.64,8,6,38.0,0.6488
145,1050.52,1.65,7,4,44.0,0.6468
146,947.85,1.64,12,11,38.0,0.6449
147,986.55,1.33,8,9,44.0,0.643
148,1228.68,1.57,5,8,40.0,0.641
149,1180.18,1.54,9,6,42.0,0.6391
150,1228.4,1.55,5,6,40.0,0.6372
151,1020.85,1.37,8,8,34.0,0.6353
152,1151.28,1.47,10,10,34.0,0.6334
153,974.9,1.49,3,9,30.0,0.6315
154,945.45,1.58,9,7,34.0,0.6296
155,1366.65,1.51,7,15,48.0,0.6277
156,1073.51,1.56,7,5,40.0,0.6258
157,957.74,1.57,10,5,22.0,0.6239
158,1148.31,1.66,8,6,40.0,0.6221
159,1010.68,1.54,10,5,40.0,0.6202
160,1230.8,1.43,6,17,50.0,0.6183
161,1051.73,1.57,7,14,40.0,0.6165
162,1192.9,1.56,12,11,42.0,0.6146
163,1176.05,1.51,5,11,46.0,0.6128
164,1075.45,1.51,6,11,46.0,0.611
165,1173.49,1.41,7,8,34.0,0.6091
166,1505.74,1.63,3,8,44.0,0.6073
167,1243.26,1.53,8,5,46.0,0.6055
168,1297.99,1.55,8,10,44.0,0.6037
169,1292.01,1.59,6,6,44.0,0.6018
170,1408.29,1.62,10,6,52.0,0.6
171,1550.1,1.57,4,8,52.0,0.5982
172,1277.27,1.44,6,7,44.0,0.5964
173,1405.77,1.65,9,10,46.0,0.5947
174,1366.06,1.68,6,7,48.0,0.5929
175,1413.83,1.59,7,9,42.0,0.5911
176,1031.91,1.5,6,8,34.0,0.5893
177,1522.97,1.48,9,9,48.0,0.5875
178,1398.23,1.55,11,12,50.0,0.5858
179,1607.58,1.37,4,12,38.0,0.584
180,1079.07,1.75,6,9,44.0,0.5823
181,1469.3,1.54,6,10,40.0,0.5805
182,1041.19,1.68,3,8,46.0,0.5788
183,1182.31,1.74,12,5,42.0,0.5771
184,1617.77,1.44,11,7,58.0,0.5753
185,1881.14,1.67,5,6,56.0,0.5736
186,1543.29,1.7,10,9,52.0,0.5719
187,1370.57,1.52,8,10,46.0,0.5702
188,1192.78,1.46,9,12,42.0,0.5684
189,1313.21,1.53,6,12,46.0,0.5667
190,986.55,1.46,10,13,34.0,0.565
191,1471.34,1.55,9,9,48.0,0.5633
192,1628.71,1.58,6,3,50.0,0.5617
193,1692.23,1.56,5,11,50.0,0.56
194,1408.0,1.59,6,4,54.0,0.5583
195,1168.4,1.59,8,10,46.0,0.5566
196,1425.7,1.4,4,3,48.0,0.5549
197,1287.55,1.36,4,9,42.0,0.5533
198,1251.02,1.58,4,9,50.0,0.5516
199,1246.12,1.51,5,8,42.0,0.55
200,1553.09,1.51,5,7,54.0,0.5483
201,1880.21,1.46,8,6,52.0,0.5467
202,1408.54,1.45,9,7,54.0,0.545
203,1527.98,1.67,7,6,50.0,0.5434
204,1448.34,1.44,9,8,48.0,0.5418
205,1214.61,1.72,3,10,36.0,0.5401
206,1399.03,1.6,4,11,50.0,0.5385
207,1427.31,1.52,5,9,46.0,0.5369
208,1355.71,1.45,6,12,46.0,0.5353
209,1559.05,1.47,9,7,52.0,0.5337
210,1637.46,1.55,10,8,54.0,0.5321
211,1686.43,1.59,8,4,54.0,0.5305
212,1850.66,1.47,8,8,62.0,0.5289
213,1579.31,1.44,7,8,50.0,0.5273
214,1487.69,1.48,8,10,48.0,0.5257
215,1634.15,1.47,7,9,52.0,0.5242
216,1476.37,1.56,5,6,48.0,0.5226
217,1307.45,1.7,5,4,44.0,0.521
218,1622.9,1.58,11,12,50.0,0.5195
219,1483.19,1.49,2,4,54.0,0.5179
220,1319.38,1.44,7,9,36.0,0.5163
221,1508.34,1.5,5,9,48.0,0.5148
222,1522.95,1.5,10,6,44.0,0.5132
223,1591.74,1.4,5,7,52.0,0.5117
224,1513.33,1.52,3,9,42.0,0.5102
225,1647.68,1.49,2,8,52.0,0.5086
226,1497.39,1.41,5,10,54.0,0.5071
227,1868.46,1.44,3,7,64.0,0.5056
228,1228.84,1.53,5,9,50.0,0.5041
229,1488.94,1.37,7,8,60.0,0.5026
230,1785.68,1.52,4,3,54.0,0.5011
231,1745.43,1.5,8,7,68.0,0.4996
232,1654.73,1.51,8,11,58.0,0.4981
233,1425.43,1.43,6,11,36.0,0.4966
234,1541.94,1.58,11,12,54.0,0.4951
235,1666.99,1.52,5,7,52.0,0.4936
236,1623.94,1.47,11,4,50.0,0.4921
237,1511.53,1.76,7,9,44.0,0.4906
238,1790.42,1.48,4,5,42.0,0.4892
239,1377.13,1.52,8,10,50.0,0.4877
240,1670.81,1.41,3,9,50.0,0.4862
241,1644.42,1.57,6,4,64.0,0.4848
242,1427.84,1.52,4,6,56.0,0.4833
243,1523.28,1.58,7,2,50.0,0.4819
244,1695.31,1.6,8,11,48.0,0.4804
245,1634.78,1.43,5,4,42.0,0.479
246,1541.07,1.5,8,6,62.0,0.4775
247,1653.01,1.44,9,13,66.0,0.4761
248,1711.8,1.57,12,8,54.0,0.4747
249,1734.48,1.57,6,10,48.0,0.4733
250,1868.12,1.53,4,4,46.0,0.4718
251,1540.32,1.65,4,6,58.0,0.4704
252,1427.24,1.63,5,4,46.0,0.469
253,1616.61,1.52,7,9,58.0,0.4676
254,1355.88,1.64,12,7,38.0,0.4662
255,1758.93,1.56,4,4,58.0,0.4648
256,1485.28,1.48,8,7,50.0,0.4634
257,1452.9,1.44,6,7,54.0,0.462
258,1570.69,1.48,8,5,58.0,0.4606
259,1695.8,1.55,4,8,60.0,0.4592
260,1722.16,1.55,4,6,56.0,0.4579
261,1417.71,1.51,6,7,52.0,0.4565
262,1448.6,1.49,6,7,56.0,0.4551
263,1441.12,1.73,9,6,38.0,0.4538
264,1788.79,1.59,6,7,46.0,0.4524
265,1365.24,1.41,11,9,50.0,0.451
266,2000.57,1.47,9,7,64.0,0.4497
267,1750.07,1.41,7,7,50.0,0.4483
268,1713.05,1.49,4,3,60.0,0.447
269,1708.9,1.59,1,8,58.0,0.4457
270,1763.08,1.45,5,7,58.0,0.4443
271,1416.33,1.5,6,10,54.0,0.443
272,1515.33,1.65,7,11,44.0,0.4417
273,1771.5,1.56,4,5,48.0,0.4403
274,2031.81,1.46,1,8,46.0,0.439
275,1752.0,1.47,5,11,62.0,0.4377
276,1345.63,1.58,8,10,56.0,0.4364
277,1470.24,1.58,5,7,50.0,0.4351
278,1912.8,1.48,8,10,54.0,0.4338
279,1856.42,1.66,8,4,60.0,0.4325
280,1467.15,1.57,7,5,52.0,0.4312
281,1799.04,1.58,5,9,54.0,0.4299
282,1762.2,1.53,5,9,50.0,0.4286
283,1976.73,1.49,5,10,54.0,0.4273
284,1793.9,1.68,3,7,48.0,0.426
285,1541.32,1.55,9,9,40.0,0.4247
286,1803.14,1.37,6,5,50.0,0.4235
287,1934.08,1.58,6,6,56.0,0.4222
288,2012.88,1.55,7,8,62.0,0.4209
289,1996.3,1.63,7,7,66.0,0.4197
290,1696.51,1.53,9,8,58.0,0.4184
291,1585.19,1.56,2,8,44.0,0.4171
292,1893.11,1.47,1,12,56.0,0.4159
293,1710.86,1.51,2,5,48.0,0.4146
294,1849.08,1.6,4,6,44.0,0.4134
295,1735.75,1.41,10,10,56.0,0.4122
296,1757.86,1.41,8,8,44.0,0.4109
297,1774.23,1.47,3,9,54.0,0.4097
298,2003.67,1.48,5,10,54.0,0.4085
299,1947.95,1.54,7,4,56.0,0.4072
300,2051.84,1.62,3,13,68.0,0.406
301,1662.65,1.78,4,7,62.0,0.4048
302,1998.43,1.67,6,7,58.0,0.4036
303,1626.09,1.5,6,7,50.0,0.4024
304,1803.37,1.77,7,6,60.0,0.4012
305,2063.14,1.6,3,9,52.0,0.4
306,2200.4,1.41,8,7,48.0,0.3988
307,2003.83,1.59,7,6,62.0,0.3976
308,1942.89,1.49,5,5,56.0,0.3964
309,2003.01,1.53,3,4,50.0,0.3952
310,2183.4,1.46,8,3,72.0,0.394
311,1920.64,1.54,6,5,60.0,0.3928
312,1856.04,1.49,6,7,52.0,0.3916
313,1934.28,1.54,11,5,68.0,0.3905
314,2003.08,1.52,10,13,56.0,0.3893
315,1952.18,1.49,3,8,62.0,0.3881
316,2059.98,1.62,7,6,60.0,0.387
317,2311.2,1.47,12,11,78.0,0.3858
318,1688.45,1.55,6,7,46.0,0.3846
319,1962.43,1.56,11,5,70.0,0.3835
320,1780.61,1.44,8,4,64.0,0.3823
321,2089.9,1.61,9,8,60.0,0.3812
322,2079.49,1.63,7,7,56.0,0.3801
323,1847.31,1.63,4,4,70.0,0.3789
324,1959.39,1.56,6,7,56.0,0.3778
325,1847.58,1.5,9,4,56.0,0.3766
326,2059.34,1.6,7,5,68.0,0.3755
327,1662.23,1.48,7,9,50.0,0.3744
328,2288.47,1.42,8,11,74.0,0.3733
329,2296.37,1.38,10,9,54.0,0.3721
330,1632.29,1.54,5,9,48.0,0.371
331,2113.93,1.53,5,6,56.0,0.3699
332,2337.27,1.63,4,7,68.0,0.3688
333,1871.58,1.54,8,4,72.0,0.3677
334,1704.34,1.6,6,5,56.0,0.3666
335,1909.16,1.65,7,7,60.0,0.3655
336,1699.68,1.53,10,7,52.0,0.3644
337,1726.02,1.63,6,9,52.0,0.3633
338,2080.18,1.51,6,4,66.0,0.3622
339,1839.1,1.52,7,8,54.0,0.3611
340,1870.19,1.54,5,5,58.0,0.36
341,2064.72,1.49,7,9,54.0,0.359
342,2166.48,1.4,7,7,62.0,0.3579
343,2400.65,1.56,6,9,66.0,0.3568
344,2011.13,1.45,1,6,64.0,0.3557
345,2128.81,1.55,3,4,66.0,0.3547
346,2035.65,1.58,11,11,70.0,0.3536
347,1902.69,1.78,5,3,60.0,0.3525
348,1978.25,1.6,3,5,60.0,0.3515
349,2221.1,1.58,7,6,62.0,0.3504
350,2241.27,1.53,6,6,50.0,0.3494
351,2212.11,1.39,4,4,76.0,0.3483
352,2265.32,1.54,6,10,64.0,0.3473
353,1936.75,1.55,7,7,68.0,0.3463
354,2037.08,1.56,4,6,64.0,0.3452
355,2324.07,1.47,5,6,76.0,0.3442
356,2151.59,1.58,5,6,74.0,0.3431
357,2062.52,1.5,8,7,62.0,0.3421
358,1959.97,1.75,6,5,68.0,0.3411
359,2261.89,1.66,5,5,74.0,0.3401
360,2036.74,1.48,3,3,68.0,0.339
361,1936.2,1.57,6,10,42.0,0.338
362,1982.3,1.58,7,6,48.0,0.337
363,1694.86,1.63,9,6,52.0,0.336
364,2044.39,1.46,5,7,52.0,0.335
365,2219.48,1.48,3,4,60.0,0.334
366,2318.73,1.52,5,11,52.0,0.333
367,2385.46,1.49,3,9,54.0,0.332
368,2556.8,1.39,6,6,70.0,0.331
369,1971.97,1.65,6,9,54.0,0.33
370,2029.9,1.59,6,5,58.0,0.329
371,2086.33,1.53,8,5,66.0,0.328
372,2079.27,1.55,5,7,48.0,0.327
373,2270.39,1.51,0,6,74.0,0.3261
374,2049.59,1.55,5,3,58.0,0.3251
375,1723.03,1.58,5,5,56.0,0.3241
376,1939.09,1.71,7,8,68.0,0.3231
377,2304.54,1.5,7,10,64.0,0.3222
378,2260.74,1.53,12,9,72.0,0.3212
379,2397.87,1.47,5,9,70.0,0.3202
380,2041.2,1.48,3,5,54.0,0.3193
381,1876.65,1.6,6,13,62.0,0.3183
382,2020.52,1.57,4,6,58.0,0.3174
383,2428.38,1.44,11,6,72.0,0.3164
384,2286.1,1.58,9,9,74.0,0.3155
385,1957.78,1.61,5,8,66.0,0.3145
386,1937.06,1.63,5,4,60.0,0.3136
387,2157.19,1.58,5,11,74.0,0.3126
388,2002.73,1.56,5,5,58.0,0.3117
389,1684.08,1.55,7,9,56.0,0.3108
390,2030.53,1.62,11,6,68.0,0.3098
391,2384.32,1.43,8,4,80.0,0.3089
392,1976.11,1.5,4,5,60.0,0.308
393,2322.98,1.5,9,4,60.0,0.307
394,2068.21,1.44,2,5,62.0,0.3061
395,2060.11,1.51,5,5,66.0,0.3052
396,2070.42,1.43,5,9,48.0,0.3043
397,2658.83,1.4,2,6,68.0,0.3034
398,2257.99,1.57,8,2,70.0,0.3025
399,2315.8,1.55,7,4,58.0,0.3016
400,2379.94,1.57,8,6,58.0,0.3007
401,2321.81,1.5,6,8,84.0,0.2997
402,1930.41,1.62,8,6,80.0,0.2989
403,2807.33,1.43,2,3,70.0,0.298
404,2110.55,1.57,2,9,62.0,0.2971
405,2084.86,1.49,3,6,60.0,0.2962
406,2304.08,1.54,4,5,56.0,0.2953
407,2364.37,1.55,3,6,66.0,0.2944
408,2041.16,1.58,2,8,62.0,0.2935
409,2303.63,1.5,3,6,60.0,0.2926
410,2255.72,1.64,8,10,78.0,0.2918
411,2183.29,1.54,4,6,62.0,0.2909
412,2064.92,1.62,9,8,64.0,0.29
413,2349.53,1.5,2,6,68.0,0.2891
414,2119.03,1.48,7,7,62.0,0.2883
415,1997.27,1.61,7,6,60.0,0.2874
416,2005.8,1.42,9,5,60.0,0.2865
417,2101.98,1.58,5,7,68.0,0.2857
418,2414.65,1.53,6,5,62.0,0.2848
419,2437.72,1.45,5,5,68.0,0.284
420,2647.54,1.53,4,4,74.0,0.2831
421,1935.65,1.6,7,6,70.0,0.2823
422,1954.11,1.54,4,5,58.0,0.2814
423,2091.21,1.62,6,9,62.0,0.2806
424,2186.62,1.6,6,10,62.0,0.2797
425,2177.39,1.68,3,6,58.0,0.2789
426,2380.94,1.54,2,6,80.0,0.2781
427,2172.21,1.65,3,8,68.0,0.2772
428,2324.62,1.51,6,3,70.0,0.2764
429,2518.35,1.47,2,7,84.0,0.2756
430,2368.16,1.57,4,4,70.0,0.2747
431,2509.09,1.5,6,6,68.0,0.2739
432,2111.66,1.55,4,8,54.0,0.2731
433,2171.96,1.54,6,5,62.0,0.2723
434,2389.59,1.47,4,6,66.0,0.2715
435,2593.06,1.56,4,7,76.0,0.2706
436,2123.43,1.43,7,8,68.0,0.2698
437,2199.8,1.5,6,11,70.0,0.269
438,1864.03,1.5,6,10,56.0,0.2682
439,2149.56,1.48,6,6,72.0,0.2674
440,2171.67,1.54,4,5,70.0,0.2666
441,1922.29,1.57,5,5,62.0,0.2658
442,1959.77,1.6,6,9,52.0,0.265
443,2194.51,1.54,5,5,70.0,0.2642
444,2566.38,1.52,5,10,70.0,0.2634
445,2388.75,1.6,7,8,72.0,0.2626
446,2668.84,1.54,5,7,74.0,0.2618
447,2132.01,1.45,6,4,62.0,0.2611
448,2265.09,1.56,2,4,62.0,0.2603
449,2346.24,1.54,4,3,60.0,0.2595
450,2330.37,1.55,4,7,68.0,0.2587
451,2509.44,1.58,13,8,60.0,0.2579
452,2217.0,1.49,6,11,68.0,0.2572
453,1986.21,1.63,1,8,62.0,0.2564
454,2401.47,1.53,6,9,64.0,0.2556
455,2502.57,1.58,5,6,66.0,0.2549
456,2498.29,1.52,6,12,72.0,0.2541
457,2337.07,1.56,10,6,62.0,0.2533
458,2259.91,1.49,6,5,66.0,0.2526
459,2260.63,1.63,5,4,66.0,0.2518
460,2635.48,1.43,5,7,64.0,0.2511
461,2109.3,1.58,6,11,68.0,0.2503
462,2319.73,1.52,2,9,76.0,0.2496
463,2334.08,1.51,6,4,74.0,0.2488
464,2229.52,1.72,2,6,70.0,0.2481
465,2344.32,1.54,7,6,68.0,0.2473
466,2500.79,1.54,3,6,66.0,0.2466
467,2346.56,1.56,6,8,70.0,0.2458
468,2274.17,1.59,9,6,60.0,0.2451
469,2375.5,1.52,4,7,68.0,0.2444
470,2504.37,1.44,3,11,70.0,0.2436
471,2098.33,1.5,7,10,64.0,0.2429
472,2475.97,1.51,0,6,66.0,0.2422
473,2152.2,1.59,3,7,66.0,0.2414
474,2243.63,1.7,6,6,70.0,0.2407
475,2610.3,1.56,6,4,78.0,0.24
